,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,SEASON
13,Atlanta Hawks,1610612737,6,2,4,0.333,293.0,89.5,95.0,-5.5,90.0,14.6,0.226,0.823,0.508,0.167,11,11,1,11,11,16,2,12,9,12,1,6,14,13,2011-12
14,Orlando Magic,1610612753,5,1,4,0.2,245.0,92.7,103.1,-10.4,89.2,14.6,0.226,0.684,0.451,0.155,13,13,1,13,13,13,9,14,10,13,15,16,10,15,2011-12
15,New York Knicks,1610612752,5,1,4,0.2,240.0,93.0,108.2,-15.1,89.2,11.0,0.301,0.741,0.511,0.207,13,13,1,13,14,12,15,15,16,5,11,5,16,15,2011-12
0,Denver Nuggets,1610612743,6,2,4,0.333,288.0,102.4,107.7,-5.2,100.0,15.8,0.263,0.729,0.473,0.144,10,10,1,10,11,7,12,11,6,6,13,14,7,1,2012-13
1,Houston Rockets,1610612745,6,2,4,0.333,288.0,101.9,109.2,-7.4,97.5,14.1,0.248,0.772,0.506,0.161,10,10,1,10,11,8,14,13,15,8,3,5,11,2,2012-13
2,Golden State Warriors,1610612744,12,6,6,0.5,591.0,103.7,103.4,0.3,96.5,16.2,0.275,0.75,0.525,0.167,5,5,9,5,5,5,10,6,3,3,8,2,12,3,2012-13
3,Oklahoma City Thunder,1610612760,11,5,6,0.455,533.0,102.5,100.2,2.3,95.6,14.5,0.23,0.76,0.498,0.142,8,7,9,7,8,6,6,5,13,12,7,7,6,4,2012-13
4,Los Angeles Lakers,1610612747,4,0,4,0.0,192.0,90.6,111.0,-20.4,93.9,15.3,0.202,0.783,0.486,0.175,15,15,1,15,15,16,16,16,11,14,1,10,14,5,2012-13
5,Atlanta Hawks,1610612737,6,2,4,0.333,288.0,96.4,100.1,-3.7,93.6,15.8,0.186,0.7,0.437,0.131,10,10,1,10,11,13,5,9,5,15,16,16,4,6,2012-13
6,Milwaukee Bucks,1610612749,4,0,4,0.0,192.0,91.5,108.6,-17.1,92.6,16.1,0.211,0.707,0.444,0.174,15,15,1,15,15,14,13,15,4,13,15,15,13,7,2012-13
7,San Antonio Spurs,1610612759,21,15,6,0.714,1038.0,105.9,98.8,7.0,91.9,17.2,0.233,0.738,0.494,0.136,2,2,9,1,2,2,3,2,1,11,11,9,5,8,2012-13
8,Memphis Grizzlies,1610612763,15,8,7,0.533,735.0,101.4,101.4,0.1,91.2,15.4,0.272,0.775,0.509,0.115,4,4,13,4,4,9,7,7,9,5,2,3,1,9,2012-13
9,Brooklyn Nets,1610612751,7,3,4,0.429,351.0,104.9,102.3,2.6,90.9,15.7,0.274,0.74,0.503,0.122,9,9,1,8,9,3,9,4,8,4,10,6,2,10,2012-13
10,Los Angeles Clippers,1610612746,6,2,4,0.333,288.0,104.9,109.7,-4.8,90.8,15.3,0.243,0.733,0.496,0.148,10,10,1,10,11,4,15,10,10,9,12,8,9,11,2012-13
