,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,SEASON
9,Los Angeles Clippers,1610612746,82,56,26,0.683,3946.0,109.8,103.0,6.9,97.0,18.7,0.228,0.757,0.498,0.127,1,3,3,3,26,1,15,2,3,28,9,17,2,10,2014-15
10,Minnesota Timberwolves,1610612750,82,16,66,0.195,3961.0,99.8,109.6,-9.8,97.0,16.3,0.266,0.716,0.484,0.153,1,30,30,30,20,26,30,29,18,8,30,26,21,10,2014-15
11,Portland Trail Blazers,1610612757,82,51,31,0.622,3971.0,105.5,101.4,4.2,96.5,16.8,0.242,0.762,0.507,0.14,1,8,8,8,13,8,10,5,12,20,7,10,9,12,2014-15
12,Milwaukee Bucks,1610612749,82,41,41,0.5,3986.0,100.5,99.3,1.2,96.5,17.8,0.254,0.733,0.495,0.172,1,15,15,15,3,25,2,14,7,14,24,19,29,12,2014-15
13,Los Angeles Lakers,1610612747,82,21,61,0.256,3986.0,100.8,108.0,-7.2,96.3,15.9,0.254,0.763,0.498,0.136,1,27,27,27,3,23,29,27,24,13,6,16,5,14,2014-15
14,Atlanta Hawks,1610612737,82,60,22,0.732,3946.0,106.2,100.7,5.6,96.2,19.5,0.214,0.734,0.482,0.147,1,2,2,2,26,6,7,4,2,30,22,27,17,15,2014-15
15,Washington Wizards,1610612764,82,46,36,0.561,3991.0,101.8,100.0,1.9,96.0,18.1,0.249,0.773,0.517,0.155,1,12,12,12,1,19,5,12,5,15,3,4,23,16,2014-15
16,San Antonio Spurs,1610612759,82,55,27,0.671,3991.0,106.2,99.6,6.6,95.9,18.4,0.234,0.773,0.509,0.144,1,5,5,5,1,7,3,3,4,25,4,9,13,17,2014-15
17,Orlando Magic,1610612753,82,25,57,0.305,3951.0,99.6,105.2,-5.6,95.9,16.2,0.231,0.76,0.49,0.155,1,26,26,26,25,27,25,26,21,27,8,22,22,17,2014-15
18,Indiana Pacers,1610612754,82,38,44,0.463,3971.0,100.8,100.9,-0.1,95.5,16.6,0.24,0.779,0.512,0.145,1,18,18,18,13,24,8,17,15,22,2,6,15,19,2014-15
19,Toronto Raptors,1610612761,82,49,33,0.598,3971.0,108.1,104.8,3.2,95.4,16.1,0.256,0.733,0.495,0.134,1,11,11,11,13,3,23,10,22,11,25,21,4,20,2014-15
20,Chicago Bulls,1610612741,82,50,32,0.61,3976.0,104.7,101.5,3.3,95.4,16.6,0.27,0.744,0.513,0.145,1,9,9,9,8,10,11,9,14,5,19,5,16,20,2014-15
21,Charlotte Hornets,1610612766,82,33,49,0.402,3981.0,97.6,101.0,-3.4,95.3,15.8,0.221,0.793,0.5,0.123,1,22,22,22,6,28,9,23,25,29,1,14,1,22,2014-15
22,Detroit Pistons,1610612765,82,32,50,0.39,3966.0,102.3,104.2,-1.8,95.2,16.4,0.277,0.75,0.504,0.139,1,23,23,23,18,17,21,20,17,3,15,11,7,23,2014-15
23,Brooklyn Nets,1610612751,82,38,44,0.463,3986.0,101.9,105.0,-3.1,95.0,16.3,0.239,0.737,0.489,0.144,1,18,18,18,3,18,24,22,19,23,20,23,12,24,2014-15
24,Cleveland Cavaliers,1610612739,82,53,29,0.646,3956.0,107.7,104.1,3.7,94.8,17.1,0.268,0.747,0.511,0.149,1,7,7,7,23,4,20,6,9,6,16,8,19,25,2014-15
25,Memphis Grizzlies,1610612763,82,55,27,0.671,3981.0,103.1,99.9,3.1,94.2,16.9,0.247,0.753,0.501,0.14,1,5,5,5,6,13,4,11,11,17,11,13,8,26,2014-15
26,New Orleans Pelicans,1610612740,82,45,37,0.549,3956.0,105.4,104.7,0.7,93.7,17.1,0.271,0.751,0.511,0.141,1,13,13,13,23,9,22,15,8,4,13,7,10,27,2014-15
27,New York Knicks,1610612752,82,17,65,0.207,3971.0,97.1,107.2,-10.1,93.7,16.7,0.245,0.731,0.481,0.155,1,29,29,29,13,29,28,30,13,18,26,28,24,27,2014-15
28,Miami Heat,1610612748,82,37,45,0.451,3946.0,101.5,103.8,-2.4,93.3,16.1,0.232,0.734,0.488,0.159,1,21,21,21,26,22,19,21,23,26,23,24,25,29,2014-15
29,Utah Jazz,1610612762,82,38,44,0.463,3941.0,102.5,102.1,0.5,92.8,15.8,0.291,0.763,0.528,0.165,1,18,18,18,30,15,12,16,26,1,5,1,27,30,2014-15
0,Sacramento Kings,1610612758,82,33,49,0.402,3961.0,103.3,106.3,-3.0,102.2,17.6,0.239,0.749,0.496,0.157,1,21,21,21,19,14,23,23,5,16,22,17,24,1,2015-16
1,Golden State Warriors,1610612744,82,73,9,0.89,3976.0,112.5,100.9,11.6,101.6,20.4,0.235,0.76,0.513,0.149,1,1,1,1,5,1,4,2,1,19,15,8,19,2,2015-16
2,Boston Celtics,1610612738,82,48,34,0.585,3956.0,103.9,100.9,3.0,101.1,17.4,0.251,0.746,0.494,0.135,1,7,7,7,23,13,5,9,10,10,26,20,5,3,2015-16
3,Phoenix Suns,1610612756,82,23,59,0.28,3941.0,99.4,107.0,-7.6,100.9,15.4,0.254,0.771,0.506,0.169,1,27,27,27,29,28,26,27,26,7,11,11,30,4,2015-16
4,Washington Wizards,1610612764,82,41,41,0.5,3951.0,102.9,103.6,-0.7,100.6,18.1,0.206,0.777,0.486,0.143,1,17,17,17,26,19,14,17,4,27,9,25,15,5,2015-16
5,Philadelphia 76ers,1610612755,82,10,72,0.122,3961.0,96.6,106.7,-10.0,100.2,16.3,0.206,0.74,0.464,0.162,1,30,30,30,19,30,25,29,21,26,27,30,29,6,2015-16
6,Houston Rockets,1610612745,82,41,41,0.5,3966.0,105.5,105.6,-0.2,100.1,16.4,0.257,0.728,0.491,0.158,1,17,17,17,11,8,21,15,19,6,30,22,27,7,2015-16
7,Atlanta Hawks,1610612737,82,48,34,0.585,3966.0,103.0,98.8,4.1,99.4,19.0,0.191,0.746,0.475,0.15,1,7,7,7,11,18,2,7,2,30,25,28,21,8,2015-16
8,Oklahoma City Thunder,1610612760,82,55,27,0.671,3966.0,109.9,103.0,6.9,99.4,16.7,0.311,0.76,0.547,0.159,1,5,5,5,11,2,12,3,17,1,17,1,28,8,2015-16
9,Indiana Pacers,1610612754,82,45,37,0.549,3976.0,102.4,100.2,2.2,99.0,16.1,0.234,0.76,0.498,0.149,1,11,11,11,5,23,3,11,22,20,16,14,20,10,2015-16
10,New Orleans Pelicans,1610612740,82,30,52,0.366,3956.0,103.2,107.3,-4.1,98.9,16.8,0.212,0.788,0.49,0.135,1,25,25,25,23,16,28,26,16,24,4,24,4,11,2015-16
11,Portland Trail Blazers,1610612757,82,44,38,0.537,3961.0,106.1,105.6,0.6,98.3,16.0,0.259,0.762,0.51,0.148,1,12,12,12,19,7,20,13,23,3,13,10,17,12,2015-16
12,Chicago Bulls,1610612741,82,42,40,0.512,3981.0,102.1,103.9,-1.8,98.2,17.0,0.245,0.749,0.502,0.14,1,14,14,14,3,25,15,18,13,13,21,12,12,13,2015-16
13,Orlando Magic,1610612753,82,35,47,0.427,3981.0,102.6,104.6,-2.0,98.2,17.6,0.231,0.765,0.494,0.142,1,20,20,20,3,21,17,19,7,22,12,18,14,13,2015-16
14,Denver Nuggets,1610612743,82,33,49,0.402,3966.0,102.7,106.4,-3.7,98.2,16.9,0.258,0.773,0.511,0.148,1,21,21,21,11,20,24,25,15,5,10,9,18,13,2015-16
15,LA Clippers,1610612746,82,53,29,0.646,3966.0,106.5,100.9,5.5,98.0,17.4,0.201,0.738,0.474,0.132,1,6,6,6,11,6,6,5,9,28,28,29,3,16,2015-16
16,Los Angeles Lakers,1610612747,82,17,65,0.207,3946.0,98.6,109.3,-10.7,98.0,14.1,0.231,0.747,0.48,0.139,1,29,29,29,28,29,30,30,30,21,24,27,10,16,2015-16
17,Charlotte Hornets,1610612766,82,48,34,0.585,3971.0,105.1,101.8,3.3,97.8,16.7,0.2,0.798,0.496,0.127,1,7,7,7,9,9,9,8,18,29,1,16,1,18,2015-16
18,Minnesota Timberwolves,1610612750,82,29,53,0.354,3976.0,104.3,107.1,-2.8,97.6,17.6,0.243,0.747,0.498,0.153,1,26,26,26,5,11,27,20,6,14,23,15,23,19,2015-16
19,Detroit Pistons,1610612765,82,44,38,0.537,3976.0,103.3,103.4,-0.2,97.4,14.8,0.27,0.793,0.521,0.137,1,12,12,12,5,15,13,15,29,2,2,2,8,20,2015-16
20,Brooklyn Nets,1610612751,82,21,61,0.256,3951.0,100.9,108.5,-7.6,97.4,17.0,0.241,0.757,0.494,0.151,1,28,28,28,26,27,29,27,14,15,19,19,22,20,2015-16
21,Milwaukee Bucks,1610612749,82,33,49,0.402,3966.0,102.2,105.7,-3.5,96.6,17.6,0.249,0.731,0.492,0.157,1,21,21,21,11,24,22,24,8,11,29,21,25,22,2015-16
22,Dallas Mavericks,1610612742,82,42,40,0.512,4001.0,104.8,104.3,0.6,96.4,17.0,0.206,0.762,0.485,0.131,1,14,14,14,1,10,16,13,12,25,14,26,2,23,2015-16
23,New York Knicks,1610612752,82,32,50,0.39,3961.0,102.0,104.8,-2.8,95.8,16.0,0.237,0.758,0.501,0.139,1,24,24,24,19,26,18,20,24,18,18,13,11,24,2015-16
24,San Antonio Spurs,1610612759,82,67,15,0.817,3941.0,108.4,96.6,11.8,95.7,18.8,0.23,0.791,0.52,0.137,1,2,2,2,29,3,1,1,3,23,3,4,7,25,2015-16
25,Memphis Grizzlies,1610612763,82,42,40,0.512,3966.0,102.6,105.4,-2.9,95.7,16.0,0.253,0.751,0.491,0.138,1,14,14,14,11,22,19,22,25,8,20,23,9,25,2015-16
26,Miami Heat,1610612748,82,48,34,0.585,3966.0,104.2,101.5,2.6,95.7,16.3,0.238,0.778,0.517,0.147,1,7,7,7,11,12,7,10,20,17,6,6,16,25,2015-16
27,Cleveland Cavaliers,1610612739,82,57,25,0.695,3971.0,108.1,102.3,5.8,95.5,17.4,0.251,0.785,0.52,0.141,1,3,3,3,9,4,10,4,11,9,5,3,13,28,2015-16
28,Toronto Raptors,1610612761,82,56,26,0.683,3956.0,107.0,102.7,4.3,95.3,14.9,0.246,0.777,0.516,0.136,1,4,4,4,23,5,11,6,28,12,8,7,6,29,2015-16
29,Utah Jazz,1610612762,82,40,42,0.488,3991.0,103.1,101.6,1.6,93.3,15.1,0.259,0.777,0.519,0.158,1,19,19,19,2,17,8,12,27,4,7,5,26,30,2015-16
0,Brooklyn Nets,1610612751,82,20,62,0.244,3951.0,101.9,108.0,-6.1,103.6,15.9,0.196,0.761,0.482,0.159,1,30,30,30,25,28,23,28,26,28,18,28,29,1,2016-17
1,Phoenix Suns,1610612756,82,24,58,0.293,3966.0,103.9,109.3,-5.4,102.9,14.4,0.26,0.764,0.505,0.149,1,29,29,29,10,22,28,26,30,6,15,10,25,2,2016-17
2,Houston Rockets,1610612745,82,55,27,0.671,3956.0,111.8,106.4,5.4,102.5,18.1,0.246,0.758,0.502,0.147,1,3,3,3,18,2,18,3,5,10,21,14,22,3,2016-17
3,Golden State Warriors,1610612744,82,67,15,0.817,3956.0,113.2,101.1,12.1,102.2,21.2,0.228,0.749,0.505,0.144,1,1,1,1,18,1,2,1,1,18,29,9,20,4,2016-17
4,Philadelphia 76ers,1610612755,82,28,54,0.341,3966.0,100.7,106.4,-5.7,101.0,17.4,0.224,0.753,0.488,0.164,1,27,27,27,10,30,17,27,10,19,28,23,30,5,2016-17
5,Los Angeles Lakers,1610612747,82,26,56,0.317,3941.0,103.4,110.6,-7.2,100.8,15.6,0.25,0.758,0.495,0.15,1,28,28,28,30,24,30,30,27,7,23,21,27,6,2016-17
6,Denver Nuggets,1610612743,82,40,42,0.488,3951.0,110.0,110.5,-0.5,100.7,18.2,0.273,0.787,0.532,0.147,1,18,18,18,25,5,29,18,4,2,5,2,23,7,2016-17
7,Oklahoma City Thunder,1610612760,82,47,35,0.573,3961.0,105.0,105.1,-0.2,100.5,15.5,0.279,0.79,0.534,0.148,1,10,10,10,13,17,10,17,28,1,3,1,24,8,2016-17
8,New Orleans Pelicans,1610612740,82,34,48,0.415,3981.0,103.3,104.9,-1.6,100.1,17.1,0.185,0.768,0.475,0.127,1,21,21,21,2,26,9,21,16,29,13,29,4,9,2016-17
9,Atlanta Hawks,1610612737,82,43,39,0.524,3976.0,102.3,103.1,-0.8,99.8,17.4,0.236,0.761,0.503,0.157,1,11,11,11,4,27,4,19,11,15,19,13,28,10,2016-17
10,Washington Wizards,1610612764,82,49,33,0.598,3971.0,108.5,106.9,1.6,99.7,17.6,0.241,0.755,0.499,0.141,1,9,9,9,7,9,20,9,8,13,24,17,17,11,2016-17
11,Boston Celtics,1610612738,82,53,29,0.646,3951.0,108.6,105.5,3.1,99.3,18.8,0.212,0.753,0.485,0.133,1,4,4,4,25,8,12,7,2,25,27,27,8,12,2016-17
12,Orlando Magic,1610612753,82,29,53,0.354,3961.0,101.2,108.0,-6.8,99.1,16.8,0.216,0.774,0.487,0.133,1,26,26,26,13,29,24,29,19,21,9,26,7,13,2016-17
13,Portland Trail Blazers,1610612757,82,41,41,0.5,3986.0,107.8,107.8,0.0,99.1,16.0,0.23,0.768,0.498,0.137,1,15,15,15,1,11,21,15,25,17,12,18,11,13,2016-17
14,New York Knicks,1610612752,82,31,51,0.378,3971.0,104.7,108.7,-4.1,98.6,16.3,0.266,0.741,0.503,0.139,1,24,24,24,7,18,25,24,22,5,30,12,16,15,2016-17
15,Cleveland Cavaliers,1610612739,82,51,31,0.622,3976.0,110.9,108.0,2.9,98.4,17.1,0.219,0.758,0.497,0.137,1,5,5,5,4,3,22,8,15,20,22,19,12,16,2016-17
16,LA Clippers,1610612746,82,51,31,0.622,3951.0,110.3,105.8,4.5,98.2,17.2,0.215,0.769,0.499,0.131,1,5,5,5,25,4,13,6,13,23,10,16,6,17,2016-17
17,Indiana Pacers,1610612754,82,42,40,0.512,3971.0,106.2,106.3,-0.1,98.1,17.2,0.212,0.755,0.487,0.139,1,13,13,13,7,15,16,16,14,24,25,25,15,18,2016-17
18,Charlotte Hornets,1610612766,82,36,46,0.439,3966.0,106.4,106.1,0.3,97.8,17.6,0.199,0.796,0.495,0.117,1,20,20,20,10,14,14,12,9,27,2,20,1,19,2016-17
19,Chicago Bulls,1610612741,82,41,41,0.5,3956.0,104.6,104.5,0.1,97.7,16.8,0.27,0.768,0.517,0.138,1,15,15,15,18,21,6,13,17,4,11,4,13,20,2016-17
20,Miami Heat,1610612748,82,41,41,0.5,3956.0,105.2,104.1,1.0,97.6,16.3,0.242,0.764,0.5,0.137,1,15,15,15,18,16,5,10,21,11,14,15,10,21,2016-17
21,Detroit Pistons,1610612765,82,37,45,0.451,3961.0,103.3,105.3,-2.0,97.1,16.1,0.241,0.812,0.516,0.121,1,19,19,19,13,25,11,22,24,12,1,5,2,22,2016-17
22,Toronto Raptors,1610612761,82,51,31,0.622,3956.0,109.8,104.9,4.9,97.1,14.5,0.25,0.763,0.507,0.13,1,5,5,5,18,6,8,4,29,8,16,8,5,22,2016-17
23,Minnesota Timberwolves,1610612750,82,31,51,0.378,3961.0,108.1,109.1,-1.0,97.1,17.7,0.272,0.759,0.512,0.144,1,24,24,24,13,10,26,20,7,3,20,7,18,22,2016-17
24,Sacramento Kings,1610612758,82,32,50,0.39,3976.0,104.6,109.1,-4.5,97.1,17.3,0.21,0.763,0.489,0.149,1,23,23,23,4,20,27,25,12,26,17,22,26,22,2016-17
25,Milwaukee Bucks,1610612749,82,42,40,0.512,3956.0,106.9,106.4,0.5,96.7,18.5,0.215,0.754,0.488,0.144,1,13,13,13,18,13,19,11,3,22,26,24,19,26,2016-17
26,San Antonio Spurs,1610612759,82,61,21,0.744,3961.0,108.8,100.9,7.9,96.4,18.1,0.24,0.776,0.514,0.139,1,2,2,2,13,7,1,2,6,14,6,6,14,27,2016-17
27,Memphis Grizzlies,1610612763,82,43,39,0.524,3981.0,104.7,104.5,0.1,94.7,16.5,0.248,0.775,0.504,0.135,1,11,11,11,2,19,7,13,20,9,8,11,9,28,2016-17
28,Dallas Mavericks,1610612742,82,33,49,0.402,3956.0,103.7,106.3,-2.6,94.2,16.8,0.181,0.776,0.464,0.126,1,22,22,22,18,23,15,23,18,30,7,30,3,29,2016-17
29,Utah Jazz,1610612762,82,51,31,0.622,3951.0,107.4,102.7,4.7,93.6,16.2,0.232,0.789,0.518,0.145,1,5,5,5,25,12,3,5,23,16,4,3,21,30,2016-17
0,New Orleans Pelicans,1610612740,82,48,34,0.585,3991.0,107.7,105.6,2.1,102.7,19.0,0.2,0.767,0.494,0.144,1,8,8,8,1,9,14,10,3,28,20,21,16,1,2017-18
1,Los Angeles Lakers,1610612747,82,35,47,0.427,3981.0,104.2,105.6,-1.4,102.6,17.0,0.236,0.777,0.509,0.152,1,21,21,21,3,22,13,21,19,7,12,9,25,2,2017-18
2,Phoenix Suns,1610612756,82,21,61,0.256,3941.0,100.8,110.6,-9.7,102.6,15.6,0.225,0.765,0.49,0.153,1,30,30,30,27,30,30,30,29,14,23,23,26,2,2017-18
3,Philadelphia 76ers,1610612755,82,52,30,0.634,3956.0,107.4,102.0,5.4,102.2,19.1,0.253,0.786,0.529,0.161,1,5,5,5,16,11,3,4,2,3,9,1,30,4,2017-18
4,Golden State Warriors,1610612744,82,58,24,0.707,3946.0,112.3,104.2,8.1,101.8,20.9,0.211,0.763,0.506,0.153,1,3,3,3,23,1,9,2,1,23,25,11,27,5,2017-18
5,LA Clippers,1610612746,82,42,40,0.512,3941.0,107.7,107.7,0.0,101.1,16.5,0.235,0.761,0.501,0.145,1,18,18,18,27,8,19,18,25,8,28,16,18,6,2017-18
6,Brooklyn Nets,1610612751,82,28,54,0.341,3971.0,104.3,108.5,-4.2,101.1,17.3,0.21,0.77,0.487,0.149,1,23,23,23,5,21,25,23,12,24,19,25,22,6,2017-18
7,Atlanta Hawks,1610612737,82,24,58,0.293,3941.0,102.4,108.2,-5.8,100.6,17.6,0.211,0.762,0.487,0.154,1,27,27,27,27,26,21,26,8,22,27,26,29,8,2017-18
8,Charlotte Hornets,1610612766,82,36,46,0.439,3956.0,107.0,107.0,0.0,100.5,16.1,0.222,0.807,0.51,0.125,1,20,20,20,16,13,16,18,27,16,1,5,2,9,2017-18
9,Chicago Bulls,1610612741,82,27,55,0.329,3971.0,101.3,109.1,-7.8,100.3,17.3,0.206,0.806,0.494,0.138,1,24,24,24,5,28,28,28,14,25,2,20,10,10,2017-18
10,Orlando Magic,1610612753,82,25,57,0.305,3946.0,102.8,107.7,-4.9,100.3,17.5,0.2,0.756,0.476,0.144,1,26,26,26,23,25,20,25,10,29,30,29,17,10,2017-18
11,Cleveland Cavaliers,1610612739,82,50,32,0.61,3946.0,110.6,109.5,1.0,100.1,17.5,0.201,0.773,0.491,0.137,1,6,6,6,23,5,29,13,9,27,17,22,9,12,2017-18
12,Toronto Raptors,1610612761,82,59,23,0.72,3966.0,111.0,103.4,7.6,99.8,17.9,0.23,0.777,0.509,0.133,1,2,2,2,8,3,5,3,6,11,13,8,4,13,2017-18
13,Houston Rockets,1610612745,82,65,17,0.793,3951.0,112.2,103.8,8.5,99.7,16.4,0.213,0.799,0.508,0.138,1,1,1,1,18,2,6,1,26,21,3,10,11,14,2017-18
14,Oklahoma City Thunder,1610612760,82,48,34,0.585,3966.0,107.6,104.7,2.9,99.2,15.8,0.277,0.774,0.517,0.14,1,8,8,8,8,10,10,8,28,1,16,3,12,15,2017-18
15,New York Knicks,1610612752,82,29,53,0.354,3966.0,104.1,108.4,-4.3,99.2,17.2,0.241,0.767,0.505,0.147,1,22,22,22,8,24,23,24,15,5,21,12,21,15,2017-18
16,Denver Nuggets,1610612743,82,46,36,0.561,3976.0,109.6,108.8,0.8,99.1,18.2,0.257,0.775,0.517,0.149,1,14,14,14,4,6,26,14,5,2,15,2,23,17,2017-18
17,Washington Wizards,1610612764,82,43,39,0.524,3971.0,106.9,106.2,0.7,98.9,18.4,0.235,0.771,0.503,0.146,1,17,17,17,5,14,15,15,4,9,18,13,20,18,2017-18
18,Portland Trail Blazers,1610612757,82,49,33,0.598,3951.0,106.1,104.2,1.9,98.8,15.0,0.233,0.791,0.514,0.136,1,7,7,7,18,16,8,11,30,10,5,4,8,19,2017-18
19,Milwaukee Bucks,1610612749,82,44,38,0.537,3966.0,107.8,107.1,0.7,98.5,17.7,0.204,0.759,0.483,0.14,1,15,15,15,8,7,17,15,7,26,29,28,13,20,2017-18
20,Detroit Pistons,1610612765,82,39,43,0.476,3961.0,104.9,104.8,0.0,98.4,17.1,0.227,0.785,0.5,0.136,1,19,19,19,12,19,11,18,18,13,10,18,7,21,2017-18
21,Minnesota Timberwolves,1610612750,82,47,35,0.573,3961.0,110.8,108.4,2.4,98.3,17.0,0.244,0.764,0.501,0.126,1,12,12,12,12,4,22,9,20,4,24,17,3,22,2017-18
22,Indiana Pacers,1610612754,82,48,34,0.585,3951.0,107.2,105.6,1.6,98.2,16.8,0.227,0.762,0.496,0.135,1,8,8,8,18,12,12,12,22,12,26,19,5,23,2017-18
23,Boston Celtics,1610612738,82,55,27,0.671,3961.0,105.3,101.5,3.7,98.2,17.0,0.215,0.784,0.503,0.142,1,4,4,4,12,18,1,6,21,18,11,14,15,23,2017-18
24,Miami Heat,1610612748,82,44,38,0.537,3986.0,104.5,104.0,0.5,97.8,17.1,0.215,0.79,0.502,0.145,1,15,15,15,2,20,7,17,16,19,6,15,19,25,2017-18
25,Utah Jazz,1610612762,82,48,34,0.585,3951.0,106.2,101.6,4.6,97.8,17.1,0.215,0.798,0.51,0.15,1,8,8,8,18,15,2,5,17,17,4,7,24,25,2017-18
26,Dallas Mavericks,1610612742,82,24,58,0.293,3961.0,104.1,107.4,-3.3,97.5,17.3,0.18,0.789,0.474,0.125,1,27,27,27,12,23,18,22,11,30,7,30,1,27,2017-18
27,Memphis Grizzlies,1610612763,82,22,60,0.268,3941.0,101.8,108.4,-6.6,97.3,16.6,0.224,0.765,0.488,0.153,1,29,29,29,27,27,24,27,24,15,22,24,28,28,2017-18
28,San Antonio Spurs,1610612759,82,47,35,0.573,3946.0,105.5,102.4,3.1,97.2,17.3,0.237,0.786,0.51,0.135,1,12,12,12,23,17,4,7,13,6,8,6,6,29,2017-18
29,Sacramento Kings,1610612758,82,27,55,0.329,3951.0,101.1,109.0,-7.9,97.1,16.6,0.214,0.776,0.483,0.14,1,24,24,24,18,29,27,29,23,20,14,27,14,30,2017-18
0,Atlanta Hawks,1610612737,82,29,53,0.354,3971.0,105.5,111.2,-5.7,106.4,17.7,0.247,0.764,0.5,0.159,1,26,26,26,7,23,27,26,16,6,20,16,30,1,2018-19
1,New Orleans Pelicans,1610612740,82,33,49,0.402,3951.0,108.6,110.4,-1.8,105.6,18.6,0.241,0.768,0.508,0.139,1,22,22,22,24,12,24,20,7,9,19,9,22,2,2018-19
2,Sacramento Kings,1610612758,82,39,43,0.476,3946.0,108.3,108.7,-0.4,105.5,17.7,0.231,0.755,0.486,0.127,1,17,17,17,27,16,20,16,15,12,26,24,5,3,2018-19
3,Los Angeles Lakers,1610612747,82,37,45,0.451,3956.0,105.2,107.3,-2.1,105.5,17.8,0.222,0.764,0.499,0.147,1,20,20,20,18,24,15,23,14,17,22,18,28,3,2018-19
4,Milwaukee Bucks,1610612749,82,60,22,0.732,3956.0,111.5,103.0,8.5,105.4,18.3,0.208,0.803,0.523,0.131,1,1,1,1,18,3,1,1,10,27,1,3,6,5,2018-19
5,Oklahoma City Thunder,1610612760,82,49,33,0.598,3971.0,107.6,104.7,2.9,105.3,16.3,0.26,0.782,0.513,0.131,1,9,9,9,7,17,5,11,27,3,7,6,8,6,2018-19
6,LA Clippers,1610612746,82,48,34,0.585,3966.0,109.7,109.0,0.7,104.1,17.1,0.22,0.76,0.499,0.139,1,11,11,11,11,10,21,14,20,19,25,17,20,7,2018-19
7,Philadelphia 76ers,1610612755,82,51,31,0.622,3961.0,110.4,107.1,3.3,104.0,18.7,0.245,0.786,0.523,0.143,1,7,7,7,15,7,14,7,5,8,6,2,24,8,2018-19
8,Washington Wizards,1610612764,82,32,50,0.39,3986.0,108.6,111.3,-2.7,103.7,18.4,0.213,0.741,0.473,0.134,1,25,25,25,2,13,28,25,9,25,29,29,11,9,2018-19
9,Brooklyn Nets,1610612751,82,42,40,0.512,3996.0,106.9,107.0,-0.1,103.4,16.9,0.238,0.764,0.502,0.144,1,14,14,14,1,19,13,15,23,10,21,15,25,10,2018-19
10,Golden State Warriors,1610612744,82,57,25,0.695,3961.0,113.9,106.5,7.5,103.2,20.4,0.225,0.771,0.51,0.138,1,3,3,3,15,1,10,2,1,16,14,8,18,11,2018-19
11,Phoenix Suns,1610612756,82,19,63,0.232,3976.0,103.6,112.2,-8.6,102.9,17.3,0.205,0.725,0.461,0.15,1,28,28,28,4,28,29,28,19,28,30,30,29,12,2018-19
12,Minnesota Timberwolves,1610612750,82,36,46,0.439,3966.0,108.4,110.2,-1.9,102.8,17.4,0.246,0.749,0.495,0.126,1,21,21,21,11,14,23,22,18,7,27,20,4,13,2018-19
13,Toronto Raptors,1610612761,82,58,24,0.707,3976.0,110.9,104.3,6.5,102.5,18.2,0.219,0.771,0.502,0.136,1,2,2,2,4,6,4,3,11,22,15,14,14,14,2018-19
14,Utah Jazz,1610612762,82,50,32,0.61,3951.0,108.8,103.2,5.5,102.5,18.5,0.229,0.803,0.521,0.147,1,8,8,8,24,11,2,4,8,13,2,5,27,14,2018-19
15,Boston Celtics,1610612738,82,49,33,0.598,3956.0,110.1,104.9,5.1,102.0,18.8,0.216,0.77,0.493,0.126,1,9,9,9,18,8,6,5,4,24,18,21,3,16,2018-19
16,New York Knicks,1610612752,82,17,65,0.207,3956.0,102.1,110.9,-8.8,102.0,14.9,0.221,0.761,0.485,0.137,1,30,30,30,18,30,25,29,30,18,24,25,16,16,2018-19
17,Portland Trail Blazers,1610612757,82,53,29,0.646,3971.0,111.4,108.1,3.3,101.6,16.6,0.266,0.779,0.528,0.135,1,5,5,5,7,4,17,7,24,1,9,1,12,18,2018-19
18,Dallas Mavericks,1610612742,82,33,49,0.402,3956.0,106.6,108.3,-1.7,101.4,17.0,0.227,0.775,0.503,0.139,1,22,22,22,18,20,19,19,21,15,12,13,21,19,2018-19
19,Charlotte Hornets,1610612766,82,39,43,0.476,3966.0,108.3,110.2,-1.8,101.1,17.0,0.217,0.771,0.489,0.119,1,17,17,17,11,15,22,20,22,23,16,23,1,20,2018-19
20,Chicago Bulls,1610612741,82,22,60,0.268,3981.0,102.5,110.9,-8.4,101.1,16.3,0.194,0.773,0.48,0.138,1,27,27,27,3,29,26,27,26,30,13,28,19,20,2018-19
21,Miami Heat,1610612748,82,39,43,0.476,3946.0,104.6,105.1,-0.6,100.7,17.6,0.248,0.776,0.512,0.146,1,17,17,17,27,26,7,17,17,5,10,7,26,22,2018-19
22,San Antonio Spurs,1610612759,82,48,34,0.585,3961.0,111.1,108.3,2.8,100.4,18.1,0.21,0.794,0.505,0.12,1,11,11,11,15,5,18,12,12,26,4,11,2,23,2018-19
23,Houston Rockets,1610612745,82,53,29,0.646,3966.0,112.5,107.9,4.6,100.4,15.9,0.228,0.744,0.481,0.132,1,5,5,5,11,2,16,6,28,14,28,27,9,23,2018-19
